Index,WS,GAP,MTX,cap_w,ETCH_DEPTH,L1,L2,W1,W2,n_m_COMSOL,Z0_COMSOL,Mode_Score,alpha_COMSOL,alpha_ML_unetched,alpha_ML_etched,delta_ML,baseline_gap
171,8.011,6.82,14.028,3.798,0.22,33.972,34.737,31.399,3.197,1.50951,37.7845,0.499201,3.4472,3.31973,3.02174,-0.297992,0.127472
131,8.079,15.105,3.243,12.555,0.132,52.392,122.594,58.824,3.606,1.93873,74.7829,0.498759,2.72609,2.63057,7.68314,5.05257,0.0955231
92,8.45,16.377,1.986,12.23,0.271,33.998,135.256,58.152,3.23,1.92943,82.3268,0.498826,2.69773,2.58897,10.7232,8.13418,0.108757
87,8.749,14.422,9.136,3.857,0.227,30.749,140.484,12.329,29.027,1.70923,62.6311,0.498896,2.21913,2.14749,2.95863,0.811142,0.071648
202,8.949,8.284,7.702,2.444,0.217,23.806,92.096,21.403,37.873,1.66942,51.1685,0.498975,3.19248,3.07947,5.77155,2.69208,0.113003
25,9.102,8.033,14.033,3.43,0.215,6.37,5.054,27.243,25.748,1.53564,40.7454,0.499068,3.03302,2.91518,3.30458,0.389402,0.117838
245,9.225,11.954,11.956,2.937,0.218,47.098,125.597,27.092,32.955,1.62789,52.9834,0.498881,2.36351,2.28501,5.26126,2.97625,0.0785069
100,9.247,15.674,8.723,11.517,0.318,54.347,188.325,19.462,27.015,1.72097,65.2549,0.49889,2.10049,1.99083,3.57129,1.58046,0.109661
378,9.366,10.998,5.534,9.141,0.175,55.562,135.887,2.382,11.612,1.82061,60.0656,0.498802,2.8588,2.71945,2.50125,-0.218206,0.139347
32,9.516,16.133,1.42,7.946,0.242,52.831,96.112,30.663,9.15,1.96047,81.2443,0.498748,2.74073,2.63269,3.36627,0.733576,0.108037
486,9.532,14.312,1.848,7.387,0.182,30.245,145.914,18.542,29.96,1.95904,76.0137,0.498719,2.83538,2.74117,6.14269,3.40152,0.0942083
220,9.612,13.611,10.123,5.612,0.154,51.138,48.008,23.837,30.534,1.71625,57.4601,0.49881,2.27075,2.1944,2.51306,0.318665,0.0763493
13,9.887,15.16,4.522,9.466,0.264,19.283,25.828,19.518,4.98,1.84224,70.8803,0.498826,2.37374,2.2625,2.39778,0.135279,0.111235
